Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_EFModels.Conversation.get_Messages()",832,38.96,38.96,16.79,16.79,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Controller.ExecuteCore()",30,89.32,30.10,"1,067.50",359.76,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,8.43,8.43,"3,022.08","3,022.08","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,4.37,4.37,"1,565.78","1,565.78","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",26,3.81,3.81,52.56,52.56,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",10,2.82,2.82,101.28,101.28,"System.Core.dll",
"System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>)",622,2.28,2.25,1.32,1.30,"System.Core.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",32,1.77,1.77,19.81,19.81,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,1.62,1.62,23.18,23.18,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.28,1.28,228.70,228.70,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",29,0.60,0.60,7.43,7.43,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",31,0.57,0.57,6.60,6.60,"System.Core.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.40,0.40,72.02,72.02,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.33,0.33,59.78,59.78,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,1.12,0.31,403.35,111.52,"System.Web.Mvc.dll",
