Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"LinqKit.Extensions.Expand(class System.Linq.Expressions.Expression`1<!!0>)",6,0.01,0.01,0.82,0.82,"LinqKit.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.NrOfUnreadConversations(string,class SmsFeedback_EFModels.smsfeedbackEntities)",3,0.34,0.01,39.58,1.64,"SmsFeedback_Take4.dll",
"System.Web.UI.IParserAccessor.AddParsedSubObject(object)",4,0.01,0.01,1.23,1.23,"System.Web.dll",
"System.Web.Mvc.Html.InputExtensions.PasswordFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.01,0.01,3.81,3.77,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetTotalNoOfClientsInfo(string,string,string,string)",2,0.67,0.01,118.67,1.79,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportById(int32)",2,0.01,0.01,2.22,1.54,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.Select(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",210,0.01,0.01,0.01,0.01,"System.Core.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",108,0.01,0.01,0.03,0.03,"System.Core.dll",
"System.Web.Mvc.ViewPage`1..ctor()",1,0.01,0.01,2.96,2.96,"System.Web.Mvc.dll",
"System.Web.HttpServerUtility.MapPath(string)",66,0.01,0.01,0.04,0.04,"System.Web.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationMessageFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",2,0.01,0.01,1.37,1.37,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetSpecialTags(string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,1.87,0.01,662.74,2.50,"SmsFeedback_Take4.dll",
"System.Text.RegularExpressions.Regex.Replace(string,string)",2,0.01,0.01,1.24,1.24,"System.dll",
"System.String.StartsWith(string)","2,188",0.01,0.01,0.00,0.00,"mscorlib.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationSummary(class System.Web.Mvc.HtmlHelper,bool,string)",1,0.01,0.01,2.40,2.40,"System.Web.Mvc.dll",
"System.Web.UI.Control.SetTraceData(object,object)",4,0.01,0.01,0.58,0.58,"System.Web.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0.01,0.01,2.32,2.28,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.Content(string)",66,0.01,0.01,0.03,0.03,"System.Web.Mvc.dll",
"System.Linq.Enumerable.OrderByDescending(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",1,0.01,0.01,2.12,2.12,"System.Core.dll",
"System.Reflection.FieldInfo.GetFieldFromHandle(valuetype System.RuntimeFieldHandle)",58,0.01,0.01,0.04,0.04,"mscorlib.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetWorkingPointsForAUser(string,string,class SmsFeedback_EFModels.smsfeedbackEntities)",13,1.05,0.01,28.46,0.16,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.01,0.01,0.99,0.98,"System.Web.Mvc.dll",
"System.Web.Mvc.AuthorizeAttribute.set_Roles(string)",7,0.01,0.01,0.26,0.26,"System.Web.Mvc.dll",
"System.IO.File.GetLastWriteTime(string)",66,0.01,0.01,0.03,0.03,"mscorlib.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetXmppConnectionDetailsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,1.48,0.01,262.42,0.89,"SmsFeedback_Take4.dll",
"System.Web.Mvc.AjaxRequestExtensions.IsAjaxRequest(class System.Web.HttpRequestBase)",8,0.00,0.00,0.22,0.22,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<InitializeInterval>b__10d(valuetype System.DateTime)",96,0.01,0.00,0.02,0.02,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0.00,0.00,1.71,1.63,"System.Web.Mvc.dll",
"SmsFeedback_Take4.MvcApplication.Application_Start()",1,4.73,0.00,"1,674.84",1.63,"SmsFeedback_Take4.dll",
"ASP.views_shared_site_master.__BuildControlTree(class ASP.views_shared_site_master)",2,0.02,0.00,3.33,0.82,"App_Web_5xga5w0e.dll",
"System.Web.UI.MasterPage.InstantiateInContentPlaceHolder(class System.Web.UI.Control,class System.Web.UI.ITemplate)",10,0.01,0.00,0.21,0.15,"System.Web.dll",
"System.Web.Mvc.Html.LabelExtensions.LabelFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",1,0.00,0.00,1.51,1.51,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.IsLocalUrl(string)",1,0.00,0.00,1.48,1.48,"System.Web.Mvc.dll",
"System.Linq.Expressions.Expression.Equal(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",28,0.00,0.00,0.05,0.05,"System.Core.dll",
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",6,0.00,0.00,0.24,0.24,"System.Core.dll",
"SmsFeedback_EFModels.SubscriptionDetail.WarningsRequired()",2,0.00,0.00,0.71,0.71,"SmsFeedback_EFModels.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportsMenuItems()",1,0.00,0.00,1.75,1.39,"SmsFeedback_Take4.dll",
"System.Linq.Queryable.AsQueryable(class System.Collections.Generic.IEnumerable`1<!!0>)",2,0.00,0.00,0.69,0.69,"System.Core.dll",
"ASP.views_shared_site_master.__BuildControl__control2()",2,0.01,0.00,1.85,0.67,"App_Web_5xga5w0e.dll",
"System.Linq.Enumerable.Take(class System.Collections.Generic.IEnumerable`1<!!0>,int32)",1,0.00,0.00,1.29,1.29,"System.Core.dll",
"LinqKit.PredicateBuilder.And(class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",12,0.00,0.00,0.11,0.11,"LinqKit.dll",
"System.Web.UI.IAttributeAccessor.SetAttribute(string,string)",4,0.00,0.00,0.32,0.32,"System.Web.dll",
"System.Web.HttpCookie..ctor(string,string)",30,0.00,0.00,0.04,0.04,"System.Web.dll",
"System.Data.Entity.DbContext.Dispose()",28,0.00,0.00,0.04,0.04,"EntityFramework.dll",
"System.Text.RegularExpressions.Regex..ctor(string,valuetype System.Text.RegularExpressions.RegexOptions)",66,0.00,0.00,0.02,0.02,"System.dll",
"LinqKit.Extensions.AsExpandable(class System.Linq.IQueryable`1<!!0>)",6,0.00,0.00,0.21,0.21,"LinqKit.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.00,0.00,1.23,1.23,"EntityFramework.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",12,0.05,0.00,1.47,0.10,"SmsFeedback_Take4.dll",
"ASP.views_reports_index_aspx.FrameworkInitialize()",1,0.00,0.00,1.25,1.18,"App_Web_klimlnjo.dll",
"System.Linq.Queryable.GroupBy(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",3,0.00,0.00,0.39,0.39,"System.Core.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",2,0.00,0.00,0.58,0.58,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgNoOfIncomingSmsPerClientInfo(string,string,string,string,string)",1,3.59,0.00,"1,272.24",1.13,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.01,0.00,0.31,0.13,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Controller.View()",3,0.00,0.00,0.34,0.34,"System.Web.Mvc.dll",
"System.Web.UI.Page.AddWrappedFileDependencies(object)",1,0.00,0.00,1.01,1.01,"System.Web.dll",
"System.Linq.Enumerable.Where(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,bool>)",784,0.00,0.00,0.00,0.00,"System.Core.dll",
"LinqKit.PredicateBuilder.True()",3,0.00,0.00,0.33,0.33,"LinqKit.dll",
"LinqKit.PredicateBuilder.Or(class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",12,0.00,0.00,0.08,0.08,"LinqKit.dll",
"System.Web.HttpResponseBase.SetCookie(class System.Web.HttpCookie)",30,0.00,0.00,0.03,0.03,"System.Web.dll",
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.01,0.00,0.43,0.12,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetOutgoingSmsInfo(string,string,string,string,string)",1,4.52,0.00,"1,601.13",0.97,"SmsFeedback_Take4.dll",
