Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.UI.IParserAccessor.AddParsedSubObject(object)",4,0.02,0.02,1.10,1.10,"System.Web.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportById(int32)",1,0.02,0.02,5.07,4.20,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationMessageFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",2,0.02,0.02,1.98,1.98,"System.Web.Mvc.dll",
"System.Text.RegularExpressions.Regex.Replace(string,string)",2,0.02,0.02,1.76,1.76,"System.dll",
"System.Web.Mvc.UrlHelper.Content(string)",67,0.02,0.02,0.05,0.05,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.InputExtensions.PasswordFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.02,0.02,3.33,3.30,"System.Web.Mvc.dll",
"System.Web.HttpServerUtility.MapPath(string)",67,0.01,0.01,0.05,0.05,"System.Web.dll",
"System.Web.Mvc.ViewPage`1..ctor()",1,0.01,0.01,2.99,2.99,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetSpecialTags(string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,2.93,0.01,625.16,2.90,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetCompanySubscriptionSMSStatus(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,4.05,0.01,431.95,1.44,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.Select(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",73,0.01,0.01,0.04,0.04,"System.Core.dll",
"System.DateTime.ToLongDateString()",2,0.01,0.01,1.37,1.37,"mscorlib.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",58,0.01,0.01,0.05,0.05,"System.Core.dll",
"System.Web.UI.Control.SetTraceData(object,object)",4,0.01,0.01,0.61,0.61,"System.Web.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationSummary(class System.Web.Mvc.HtmlHelper,bool,string)",1,0.01,0.01,2.16,2.16,"System.Web.Mvc.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.01,0.01,1.03,1.03,"System.Web.Mvc.dll",
"System.Linq.Enumerable.OrderByDescending(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",1,0.01,0.01,2.04,2.04,"System.Core.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetWorkingPointsForAUser(string,string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.26,0.01,54.98,1.98,"SmsFeedback_Take4.dll",
"ASP.views_shared_site_master.__BuildControlTree(class ASP.views_shared_site_master)",2,0.03,0.01,3.67,0.99,"App_Web_mqahmqy2.dll",
"System.Reflection.FieldInfo.GetFieldFromHandle(valuetype System.RuntimeFieldHandle)",34,0.01,0.01,0.06,0.06,"mscorlib.dll",
"System.Web.UI.MasterPage.InstantiateInContentPlaceHolder(class System.Web.UI.Control,class System.Web.UI.ITemplate)",10,0.01,0.01,0.25,0.20,"System.Web.dll",
"System.Web.Mvc.Html.LabelExtensions.LabelFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",1,0.01,0.01,1.96,1.95,"System.Web.Mvc.dll",
"System.IO.File.GetLastWriteTime(string)",67,0.01,0.01,0.03,0.03,"mscorlib.dll",
"System.Web.Mvc.AjaxRequestExtensions.IsAjaxRequest(class System.Web.HttpRequestBase)",8,0.01,0.01,0.24,0.24,"System.Web.Mvc.dll",
"System.Linq.Expressions.Expression.Equal(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",16,0.01,0.01,0.11,0.11,"System.Core.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<InitializeInterval>b__11d(valuetype System.DateTime)",32,0.01,0.01,0.06,0.05,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetXmppConnectionDetailsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,2.12,0.01,225.84,0.85,"SmsFeedback_Take4.dll",
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",6,0.01,0.01,0.28,0.28,"System.Core.dll",
"SmsFeedback_Take4.MvcApplication.Application_Start()",1,7.79,0.01,"1,659.49",1.66,"SmsFeedback_Take4.dll",
"SmsFeedback_EFModels.SubscriptionDetail.WarningsRequired()",2,0.01,0.01,0.82,0.82,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.AuthorizeAttribute.set_Roles(string)",7,0.01,0.01,0.23,0.23,"System.Web.Mvc.dll",
