Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_EFModels.Conversation.get_Messages()",832,38.37,38.37,15.93,15.93,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Controller.ExecuteCore()",30,88.52,31.41,"1,018.91",361.51,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,8.57,8.57,"2,957.79","2,957.79","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,4.44,4.44,"1,533.32","1,533.32","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",26,4.20,4.20,55.85,55.85,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",13,2.93,2.93,77.96,77.96,"System.Core.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,2.10,2.10,28.98,28.98,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",32,1.70,1.70,18.38,18.38,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.37,1.37,236.34,236.34,"System.Core.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",31,0.67,0.67,7.51,7.51,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",29,0.67,0.67,8.02,8.02,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.55,0.55,95.51,95.51,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.34,0.34,58.32,58.32,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,1.14,0.34,394.06,116.31,"System.Web.Mvc.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",181,0.28,0.28,0.53,0.53,"mscorlib.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.22,0.22,77.54,77.54,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.16,0.16,27.84,27.84,"SmsFeedback_EFModels.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",4,0.45,0.16,156.20,13.54,"System.Web.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.13,0.13,45.56,44.89,"System.Web.Mvc.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.17,0.13,5.73,2.45,"System.Web.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.33,0.11,114.44,36.44,"System.Web.Mvc.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.10,0.10,36.00,36.00,"System.Web.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.09,0.09,31.26,31.26,"EntityFramework.dll",
"System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper)",1,0.06,0.06,21.32,21.32,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",2,0.07,0.06,11.73,10.60,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.69,0.05,236.96,16.34,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.05,0.05,16.15,16.10,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.RouteUrl(string,class System.Web.Routing.RouteValueDictionary)",12,0.04,0.04,1.26,1.26,"System.Web.Mvc.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.09,0.03,30.95,10.06,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.InputExtensions.CheckBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",1,0.03,0.03,8.81,8.80,"System.Web.Mvc.dll",
"System.DateTime.ParseExact(string,string,class System.IFormatProvider)",26,0.02,0.02,0.28,0.28,"mscorlib.dll",
"System.Collections.IEnumerator.MoveNext()","1,378",0.03,0.02,0.01,0.01,"mscorlib.dll",
