Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Controller.ExecuteCore()",39,76.68,49.59,588.46,380.51,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,12.40,12.40,"3,712.28","3,712.28","System.Web.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",134,9.65,9.65,21.56,21.56,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,6.10,6.10,"1,825.82","1,825.82","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",31,5.61,5.61,54.18,54.18,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",21,4.48,4.48,63.80,63.80,"System.Core.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",5,1.95,1.95,116.78,116.78,"System.Core.dll",
"SmsFeedback_EFModels.Conversation.get_Messages()",18,1.56,1.56,25.98,25.98,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",36,1.35,1.35,11.19,11.19,"System.Core.dll",
"SmsFeedback_EFModels.User.get_Company()",5,1.08,1.08,64.70,64.70,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",5,0.70,0.70,42.17,42.17,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",34,0.67,0.67,5.88,5.88,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_Tags()",2,0.65,0.65,96.90,96.90,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",4,0.47,0.47,34.81,34.81,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,1.49,0.43,447.07,127.69,"System.Web.Mvc.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",292,0.36,0.36,0.37,0.37,"mscorlib.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",4,0.36,0.36,27.09,27.09,"SmsFeedback_EFModels.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",4,0.60,0.21,178.21,16.01,"System.Web.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",45,0.29,0.20,3.42,1.30,"System.Web.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.18,0.18,53.97,53.12,"System.Web.Mvc.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.16,0.16,47.35,47.35,"System.Web.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",2,0.23,0.15,34.57,22.12,"System.Web.Mvc.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.11,0.11,32.58,32.58,"EntityFramework.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",2,0.40,0.09,59.11,13.79,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,1.05,0.08,157.73,12.04,"SmsFeedback_Take4.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",2,0.20,0.08,30.20,11.85,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper)",1,0.08,0.08,23.66,23.66,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",5,0.09,0.08,5.21,4.69,"System.Web.Mvc.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.07,0.07,19.82,19.76,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.RouteUrl(string,class System.Web.Routing.RouteValueDictionary)",24,0.06,0.06,0.74,0.74,"System.Web.Mvc.dll",
"System.DateTime.ParseExact(string,string,class System.IFormatProvider)",4,0.05,0.05,3.90,3.90,"mscorlib.dll",
