Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"SmsFeedback_Take4.Models.EFSmsRepository.GetWorkingPointsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",5,1.56,0.01,179.67,1.05,SmsFeedback_Take4.dll
"System.Linq.Enumerable.Select(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",355,0.01,0.01,0.01,0.01,System.Core.dll
System.Web.UI.IParserAccessor.AddParsedSubObject(object),4,0.01,0.01,1.15,1.15,System.Web.dll
"SmsFeedback_Take4.Models.EFSmsRepository.GetSpecialTags(string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,1.21,0.01,697.03,3.88,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.TagsController..ctor(),1,0.15,0.01,87.89,3.81,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Utilities.EFInteraction.GetXmppConnectionDetailsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,1.18,0.01,340.13,1.9,SmsFeedback_Take4.dll
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",123,0.01,0.01,0.03,0.03,System.Core.dll
"System.Web.Mvc.Html.InputExtensions.PasswordFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.01,0.01,3.32,3.3,System.Web.Mvc.dll
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.01,0.01,1.58,1.57,System.Web.Mvc.dll
System.Web.HttpServerUtility.MapPath(string),66,0.01,0.01,0.05,0.05,System.Web.dll
SmsFeedback_Take4.Controllers.ReportsController.GetReportById(int32),5,0.01,0.01,0.9,0.61,SmsFeedback_Take4.dll
System.Web.Mvc.ViewPage`1..ctor(),1,0,0,2.82,2.82,System.Web.Mvc.dll
"SmsFeedback_Take4.Utilities.EFInteraction.GetCompanySubscriptionSMSStatus(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,1.55,0,445.16,1.39,SmsFeedback_Take4.dll
"System.Web.Mvc.Html.ValidationExtensions.ValidationMessageFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",2,0,0,1.39,1.38,System.Web.Mvc.dll
System.Web.Mvc.UrlHelper.Content(string),66,0,0,0.04,0.04,System.Web.Mvc.dll
System.Web.Mvc.AjaxRequestExtensions.IsAjaxRequest(class System.Web.HttpRequestBase),8,0,0,0.32,0.32,System.Web.Mvc.dll
"System.Text.RegularExpressions.Regex.Replace(string,string)",2,0,0,1.24,1.24,System.dll
"System.Web.UI.Control.SetTraceData(object,object)",4,0,0,0.59,0.59,System.Web.dll
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0,0,2.5,2.36,System.Web.Mvc.dll
System.String.StartsWith(string),"2,188",0,0,0,0,mscorlib.dll
