Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Controller.ExecuteCore()",22,85.10,36.18,"1,133.65",482.03,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.Conversation.get_Messages()",332,25.99,25.99,22.94,22.94,"SmsFeedback_EFModels.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,11.26,11.26,"3,298.68","3,298.68","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,6.90,6.90,"2,021.28","2,021.28","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",19,4.68,4.68,72.20,72.20,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",11,4.33,4.33,115.25,115.25,"System.Core.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,1.91,1.91,22.38,22.38,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.79,1.79,262.32,262.32,"System.Core.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",14,1.36,1.36,28.39,28.39,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",22,1.00,1.00,13.29,13.29,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",19,0.76,0.76,11.77,11.77,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.49,0.49,71.19,71.19,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,1.32,0.38,387.94,109.96,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.34,0.34,49.38,49.38,"SmsFeedback_EFModels.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",134,0.31,0.31,0.67,0.67,"mscorlib.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.21,0.21,62.43,62.43,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.19,0.19,28.55,28.55,"SmsFeedback_EFModels.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",4,0.52,0.19,151.65,13.78,"System.Web.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.17,0.17,51.00,51.00,"System.Web.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.16,0.16,46.74,46.02,"System.Web.Mvc.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.18,0.14,5.41,2.27,"System.Web.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.10,0.10,29.72,29.72,"EntityFramework.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.33,0.08,97.63,24.64,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper)",1,0.08,0.08,22.11,22.11,"System.Web.Mvc.dll",
