Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_EFModels.Conversation.get_Messages()",776,37.55,37.55,16.98,16.98,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Controller.ExecuteCore()",30,89.02,32.14,"1,041.15",375.91,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,8.68,8.68,"3,046.50","3,046.50","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,4.38,4.38,"1,537.65","1,537.65","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",26,3.97,3.97,53.62,53.62,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",10,2.71,2.71,95.11,95.11,"System.Core.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",30,2.00,2.00,23.41,23.41,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,1.60,1.60,22.49,22.49,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.17,1.17,204.61,204.61,"System.Core.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",31,0.82,0.82,9.31,9.31,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",29,0.73,0.73,8.87,8.87,"SmsFeedback_EFModels.dll",
"log4net.ILog.Error(object,class System.Exception)",3,0.56,0.56,64.93,64.93,"log4net.dll",
"System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>)",575,0.37,0.35,0.22,0.21,"System.Core.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",178,0.34,0.34,0.68,0.68,"mscorlib.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.31,0.31,54.71,54.71,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.29,0.29,51.16,51.16,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,1.02,0.23,357.96,80.64,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetWorkingPointsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",5,2.65,0.17,185.87,12.25,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.22,0.17,7.85,3.40,"System.Web.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.16,0.16,54.67,54.67,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.15,0.15,26.66,26.66,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.13,0.13,46.35,45.57,"System.Web.Mvc.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.10,0.10,33.41,33.41,"System.Web.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",4,0.45,0.09,156.46,7.83,"System.Web.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.09,0.09,29.92,29.92,"EntityFramework.dll",
