Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Html.ValidationExtensions.ValidationMessageFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",4,0.01,0.01,1.08,1.08,"System.Web.Mvc.dll",
"System.Web.UI.IParserAccessor.AddParsedSubObject(object)",8,0.01,0.01,0.54,0.54,"System.Web.dll",
"log4net.ILog.Info(object)",10,0.01,0.01,0.43,0.43,"log4net.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportsMenuItems()",1,0.01,0.01,3.57,3.27,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.InputExtensions.PasswordFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",2,0.01,0.01,1.60,1.58,"System.Web.Mvc.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",93,0.01,0.01,0.03,0.03,"System.Core.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetWorkingPointsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",5,1.92,0.01,149.80,0.62,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportById(int32)",2,0.01,0.01,2.05,1.54,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.Select(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",265,0.01,0.01,0.01,0.01,"System.Core.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetXmppConnectionDetailsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.99,0.01,193.03,1.48,"SmsFeedback_Take4.dll",
"System.Text.RegularExpressions.Regex.Replace(string,string)",2,0.01,0.01,1.41,1.41,"System.dll",
"System.Web.HttpServerUtility.MapPath(string)",72,0.01,0.01,0.04,0.04,"System.Web.dll",
"System.Web.Mvc.ViewPage`1..ctor()",2,0.01,0.01,1.38,1.38,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationSummary(class System.Web.Mvc.HtmlHelper,bool,string)",2,0.01,0.01,1.36,1.36,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.Content(string)",72,0.01,0.01,0.04,0.04,"System.Web.Mvc.dll",
"System.Web.UI.Control.SetTraceData(object,object)",8,0.01,0.01,0.30,0.30,"System.Web.dll",
"SmsFeedback_EFModels.SubscriptionDetail.WarningsRequired()",2,0.01,0.01,1.05,1.05,"SmsFeedback_EFModels.dll",
"System.Linq.Enumerable.OrderByDescending(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",1,0.01,0.01,2.08,2.08,"System.Core.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetWorkingPointsForAUser(string,string,class SmsFeedback_EFModels.smsfeedbackEntities)",15,0.98,0.01,25.51,0.13,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LabelExtensions.LabelFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",2,0.01,0.01,1.00,0.99,"System.Web.Mvc.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.01,0.01,0.99,0.99,"System.Web.Mvc.dll",
"System.IO.File.GetLastWriteTime(string)",72,0.00,0.00,0.03,0.03,"mscorlib.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetSpecialTags(string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,1.45,0.00,565.17,1.85,"SmsFeedback_Take4.dll",
"System.Web.Mvc.AjaxRequestExtensions.IsAjaxRequest(class System.Web.HttpRequestBase)",8,0.00,0.00,0.21,0.21,"System.Web.Mvc.dll",
"SmsFeedback_Take4.MvcApplication.Application_Start()",1,3.98,0.00,"1,556.40",1.68,"SmsFeedback_Take4.dll",
"System.Web.Mvc.AuthorizeAttribute.set_Roles(string)",7,0.00,0.00,0.23,0.23,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<InitializeInterval>b__109(valuetype System.DateTime)",128,0.01,0.00,0.02,0.01,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0.00,0.00,1.62,1.59,"System.Web.Mvc.dll",
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",12,0.00,0.00,0.13,0.13,"System.Core.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0.00,0.00,1.65,1.57,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.IsLocalUrl(string)",1,0.00,0.00,1.57,1.57,"System.Web.Mvc.dll",
"System.Linq.Queryable.AsQueryable(class System.Collections.Generic.IEnumerable`1<!!0>)",2,0.00,0.00,0.77,0.77,"System.Core.dll",
"ASP.views_shared_site_master.__BuildControlTree(class ASP.views_shared_site_master)",2,0.02,0.00,3.06,0.76,"App_Web_baow5oaw.dll",
"System.Reflection.FieldInfo.GetFieldFromHandle(valuetype System.RuntimeFieldHandle)",42,0.00,0.00,0.04,0.04,"mscorlib.dll",
"System.Web.UI.MasterPage.InstantiateInContentPlaceHolder(class System.Web.UI.Control,class System.Web.UI.ITemplate)",10,0.01,0.00,0.20,0.15,"System.Web.dll",
"System.Text.RegularExpressions.Regex..ctor(string,valuetype System.Text.RegularExpressions.RegexOptions)",72,0.00,0.00,0.02,0.02,"System.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",16,0.04,0.00,1.06,0.08,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetTotalNoOfClientsInfo(string,string,string,string)",2,6.40,0.00,"1,251.66",0.66,"SmsFeedback_Take4.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.00,0.00,1.29,1.29,"EntityFramework.dll",
"System.Linq.Expressions.Expression.Equal(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",30,0.00,0.00,0.04,0.04,"System.Core.dll",
"System.Web.UI.IAttributeAccessor.SetAttribute(string,string)",8,0.00,0.00,0.16,0.16,"System.Web.dll",
"System.Web.HttpCookie..ctor(string,string)",33,0.00,0.00,0.04,0.04,"System.Web.dll",
"System.String.StartsWith(string)",995,0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Data.Entity.DbContext.Dispose()",29,0.00,0.00,0.04,0.04,"EntityFramework.dll",
"ASP.views_shared_site_master.__BuildControl__control2()",2,0.01,0.00,1.66,0.59,"App_Web_baow5oaw.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetOutgoingSmsInfo(string,string,string,string,string)",1,2.05,0.00,800.73,1.06,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.Where(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,bool>)",874,0.00,0.00,0.00,0.00,"System.Core.dll",
"System.Web.Mvc.Controller.View()",3,0.00,0.00,0.33,0.33,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetTotalNoOfSmsInfo(string,string,string,string,string)",2,6.71,0.00,"1,311.62",0.48,"SmsFeedback_Take4.dll",
"System.Web.HttpResponseBase.SetCookie(class System.Web.HttpCookie)",33,0.00,0.00,0.03,0.03,"System.Web.dll",
"System.Web.UI.Page.AddWrappedFileDependencies(object)",2,0.00,0.00,0.47,0.47,"System.Web.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string)",1,0.00,0.00,0.91,0.91,"System.Web.Mvc.dll",
"System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory)",1,0.00,0.00,0.89,0.89,"EntityFramework.dll",
"System.Linq.Enumerable.Take(class System.Collections.Generic.IEnumerable`1<!!0>,int32)",1,0.00,0.00,0.82,0.82,"System.Core.dll",
"SmsFeedback_Take4.MvcApplication.Application_Start()",1,0.03,0.00,12.67,0.80,"SmsFeedback_Take4.dll",
"SmsFeedback_EFModels.Message.get_TimeReceived()","8,414",0.00,0.00,0.00,0.00,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.00,0.00,0.40,0.40,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingSmsInfo(string,string,string,string,string)",1,3.27,0.00,"1,276.44",0.77,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.GroupBy(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",224,0.00,0.00,0.00,0.00,"System.Core.dll",
"System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory)",1,0.00,0.00,0.77,0.77,"EntityFramework.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",2,0.00,0.00,0.38,0.38,"System.Web.Mvc.dll",
"ASP.views_account_logon_aspx.__BuildControl__control2()",2,0.02,0.00,3.84,0.38,"App_Web_tyyyf5ti.dll",
