Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Controller.ExecuteCore()",105,54.38,35.29,183.13,118.84,"System.Web.Mvc.dll",
"System.Web.Mvc.Controller.ExecuteCore()",17,29.85,19.60,620.87,407.79,"System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",45,6.28,6.28,49.39,49.39,"System.Core.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,5.14,5.14,"1,817.62","1,817.62","System.Web.Mvc.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",18,3.71,3.71,72.79,72.79,"System.Core.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",9,3.30,3.30,129.74,129.74,"System.Core.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,3.15,3.15,"1,113.29","1,113.29","System.Web.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",14,3.03,3.03,76.45,76.45,"System.Core.dll",
"log4net.ILog.ErrorFormat(string,object,object)",24,2.41,2.41,35.50,35.50,"log4net.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",10,2.14,2.14,75.85,75.85,"System.Core.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,1.69,1.69,23.96,23.96,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",63,1.50,1.50,8.43,8.43,"System.Core.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.32,1.32,232.81,232.81,"System.Core.dll",
"System.Collections.IEnumerator.MoveNext()",234,1.14,1.14,1.72,1.72,"mscorlib.dll",
"System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>)",27,0.90,0.90,11.79,11.79,"System.Core.dll",
"System.Collections.Generic.IEnumerable`1.GetEnumerator()",9,0.90,0.90,35.24,35.24,"mscorlib.dll",
"SmsFeedback_EFModels.User.get_Company()",9,0.88,0.88,34.58,34.58,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",14,0.74,0.74,18.78,18.78,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",9,0.63,0.63,24.76,24.76,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.52,0.52,185.24,185.24,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.48,0.48,85.35,85.35,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",72,0.46,0.46,2.24,2.24,"SmsFeedback_EFModels.dll",
"System.Collections.IEnumerator.MoveNext()",44,0.39,0.39,3.16,3.16,"mscorlib.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",576,0.36,0.36,0.22,0.22,"mscorlib.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",17,0.34,0.34,7.04,7.04,"System.Core.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.30,0.30,53.91,53.91,"SmsFeedback_EFModels.dll",
"System.Collections.Generic.IEnumerable`1.GetEnumerator()",1,0.27,0.27,96.99,96.99,"mscorlib.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",9,1.29,0.22,50.62,8.54,"System.Web.Mvc.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",81,0.69,0.19,5.42,0.83,"System.Web.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.17,0.17,30.38,30.38,"SmsFeedback_EFModels.dll",
"System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>)",8,0.17,0.17,7.31,7.30,"System.Core.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.20,0.15,7.08,3.04,"System.Web.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",9,0.17,0.14,6.54,5.66,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.10,0.10,36.34,35.56,"System.Web.Mvc.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.09,0.09,31.49,31.49,"EntityFramework.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.58,0.07,204.23,25.08,"SmsFeedback_Take4.dll",
"System.Linq.Queryable.Select(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",54,0.07,0.07,0.43,0.43,"System.Core.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.29,0.06,103.47,21.49,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",2,0.06,0.06,11.03,10.63,"System.Web.Mvc.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.30,0.06,107.41,21.04,"System.Web.Mvc.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.05,0.05,19.44,19.36,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportOverviewData(string,string,string,string)",9,5.04,0.05,198.20,1.97,"SmsFeedback_Take4.dll",
"System.Web.Mvc.UrlHelper.Action(string,string)",9,0.05,0.05,1.83,1.83,"System.Web.Mvc.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.11,0.04,38.28,15.75,"System.Web.Mvc.dll",
"System.Web.HttpServerUtility.MapPath(string)",270,0.04,0.04,0.05,0.05,"System.Web.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportOverviewData(string,string,string,string)",1,1.34,0.03,474.68,11.97,"SmsFeedback_Take4.dll",
"System.DateTime.ParseExact(string,string,class System.IFormatProvider)",18,0.03,0.03,0.62,0.62,"mscorlib.dll",
"LinqKit.Extensions.Expand(class System.Linq.Expressions.Expression`1<!!0>)",27,0.03,0.03,0.39,0.39,"LinqKit.dll",
"System.Web.Mvc.Html.InputExtensions.CheckBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",1,0.03,0.03,9.75,9.73,"System.Web.Mvc.dll",
"System.IO.File.GetLastWriteTime(string)",270,0.03,0.03,0.03,0.03,"mscorlib.dll",
"System.Linq.Enumerable.ToDictionary(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>,class System.Func`2<!!0,!!2>)",9,0.04,0.02,1.48,0.96,"System.Core.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.02,0.02,8.53,8.53,"System.Web.dll",
"System.Object.ToString()",471,0.02,0.02,0.02,0.02,"mscorlib.dll",
